label,group_id,loglik,mse,purchases,rank_ll,rank_se
sub_s2,31,-4.671319221047794,0.9685854444316789,255.0,4.0,5.0
sub_s2,32,-4.691922664642334,0.9740584492683411,256.0,6.0,2.0
sub_s2,33,-2.4076876627604165,0.7364287923177083,375.0,2.0,5.0
sub_s2,34,-6.358633572938012,0.9930880186987705,61.0,3.0,6.0
sub_s2,35,-5.906846349379595,0.9833531996783088,85.0,2.0,3.0
sub_s2,36,-3.714805685063844,0.9407451998802924,372.0,4.0,3.0
sub_s2,37,-5.824069664126537,0.9910282072473745,122.0,2.0,1.0
sub_s2,38,-4.115691898375984,0.9168358349737533,381.0,3.0,3.0
sub_s2,39,-6.593561444963727,1.0009246553693498,56.0,2.0,3.0
sub_s2,40,-6.972813383061835,0.9907109686668883,47.0,4.0,5.0
sub_s2,41,-3.830207126749803,0.9514058110089708,634.0,3.0,3.0
sub_s2,42,-5.926420792289402,0.9633751744809358,92.0,4.0,5.0
sub_s2,43,-5.380781316432823,0.9662290819648172,147.0,6.0,5.0
sub_s2,44,-3.6528011968804064,0.926378929903763,578.0,3.0,6.0
sub_s2,45,-5.5847556374289775,0.9632096724076704,99.0,6.0,6.0
sub_s2,46,-4.803332181787303,0.9546430384217515,253.0,6.0,3.0
sub_s2,47,-5.047864621184593,0.9761356797329215,215.0,5.0,5.0
sub_s2,48,-6.383059183756511,0.9508090813954672,48.0,6.0,2.0
sub_s2,49,-4.348901303108596,0.9641036386564961,381.0,2.0,6.0
sub_s2,50,-3.6186860466645623,0.8807127467710963,297.0,4.0,5.0
sub_s2,51,-4.515183643628192,0.9380050166960685,186.0,2.0,4.0
