label,group_id,loglik,mse,purchases,rank_ll,rank_se
nf_promo,17,-5.956639761876578,0.9892229793047664,99.0,1.0,1.0
nf_promo,18,-5.973048218893348,0.9938827654637328,109.0,1.0,4.0
nf_promo,19,-5.492286475929054,0.9653571876319679,74.0,2.0,3.0
nf_promo,20,-2.78055832602761,0.8838363994251598,1408.0,2.0,4.0
nf_promo,21,-5.162936123934659,0.95936279296875,165.0,3.0,3.0
nf_promo,22,-5.870792355157633,0.9932847824771848,113.0,4.0,6.0
nf_promo,23,-5.512453840078552,0.9865158998249658,183.0,6.0,7.0
nf_promo,24,-5.62047593370616,0.985665959419964,139.0,3.0,4.0
nf_promo,25,-5.566336059570313,0.9723080226353237,140.0,1.0,5.0
nf_promo,26,-4.291330016915954,0.9489620023982817,351.0,2.0,3.0
nf_promo,27,-4.584289251589308,0.8935687495212928,51.0,1.0,1.0
nf_promo,28,-6.4768874709670605,0.9942334149334882,74.0,3.0,3.0
nf_promo,29,-5.136218690035636,0.9632200274551124,114.0,4.0,7.0
nf_promo,30,-4.491662052985564,0.9704665136462435,381.0,7.0,6.0
nf_promo,31,-4.608981024050245,0.9636056339039522,255.0,1.0,1.0
nf_promo,32,-4.581237316131592,0.9770635366439819,256.0,1.0,5.0
nf_promo,33,-2.3864938151041666,0.738109375,375.0,3.0,4.0
nf_promo,34,-6.239405897797131,0.9921309674372438,61.0,1.0,4.0
nf_promo,35,-5.854526295381434,0.9827678007238051,85.0,1.0,6.0
nf_promo,36,-3.768835252331149,0.9391326904296875,372.0,6.0,2.0
nf_promo,37,-5.805930215804303,0.9922791778064165,122.0,1.0,2.0
nf_promo,38,-4.11564864511565,0.9194887016076115,381.0,3.0,6.0
nf_promo,39,-6.557224818638393,1.0014337812151228,56.0,2.0,7.0
nf_promo,40,-6.796092581241689,0.9909593298080119,47.0,1.0,4.0
nf_promo,41,-3.9188020627957414,0.9514900472261928,634.0,7.0,2.0
nf_promo,42,-5.789452594259511,0.9595622187075408,92.0,1.0,3.0
nf_promo,43,-5.352478442548895,0.9656243356717688,147.0,6.0,6.0
nf_promo,44,-3.623697353481834,0.9231906349683715,578.0,1.0,2.0
nf_promo,45,-5.260464754971591,0.94882171322601,99.0,2.0,1.0
nf_promo,46,-4.744451831923172,0.9559558973953187,253.0,3.0,3.0
nf_promo,47,-4.988758175872093,0.9742391896802326,215.0,3.0,2.0
nf_promo,48,-6.062519709269206,0.9555416107177734,48.0,1.0,6.0
nf_promo,49,-4.363104712618931,0.9621976116510826,381.0,5.0,3.0
nf_promo,50,-3.6536589856902357,0.8809604837436869,297.0,5.0,5.0
nf_promo,51,-4.529875724546371,0.9311917212701613,186.0,3.0,1.0
nf_promo,52,-5.46626676066538,0.9737380809998244,89.0,2.0,3.0
nf_promo,53,-3.6055958683329417,0.935202519696458,532.0,5.0,3.0
nf_promo,54,-3.488702332147277,0.9300971002862005,505.0,7.0,7.0
nf_promo,55,-4.0627886918339415,0.9243183368023875,411.0,1.0,2.0
nf_nopool,0,-5.263635896381579,0.9818552920692846,190.0,1.0,5.0
nf_nopool,1,-6.2760596181832105,0.9709195903703278,51.0,7.0,7.0
nf_nopool,2,-4.6339388367132095,0.9590783085383422,282.0,3.0,2.0
nf_nopool,3,-4.134849777013795,0.9385319431731097,367.0,6.0,7.0
nf_nopool,4,-7.533174438476562,1.0019706726074218,50.0,4.0,6.0
nf_nopool,5,-4.27935791015625,0.9524696895054409,336.0,4.0,6.0
nf_nopool,6,-4.131788465711805,0.8785650936173804,162.0,1.0,4.0
nf_nopool,7,-3.730050048828125,0.932275390625,500.0,3.0,3.0
nf_nopool,8,-6.042314734825721,0.9922787006084736,130.0,8.0,7.0
nf_nopool,9,-5.070124368106618,0.9497851203469669,170.0,6.0,7.0
